NUTS_ID,NAME_LATN,NUTS_NAME,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ME0,Crna Gora,Црна Гора,30,0,13,5,16,10,3,14,9,6,22,5,10,3,12,7,7,10,6,7,14,6,5,6,14,18,8,6,11,9,8,17,3,3,4,3,10,4,9,0,8
PL9,Makroregion województwo mazowieckie,Makroregion województwo mazowieckie,3,4,4,11,36,23,20,10,3,0,13,4,23,11,8,15,8,25,7,0,6,18,14,3,4,15,4,0,14,25,8,26,7,12,6,4,5,5,3,0,6
FRM,Corse,Corse,13,3,7,8,18,9,3,7,5,3,14,3,11,4,11,11,5,7,10,0,7,4,11,3,30,6,9,0,9,13,5,18,15,3,3,4,8,3,0,7,0
ES3,Comunidad de Madrid,Comunidad de Madrid,3,0,10,7,9,13,18,4,0,3,9,4,7,3,3,8,6,4,9,4,8,0,7,3,6,6,5,13,6,13,7,8,6,0,11,3,3,8,0,6,8
BG4,Yugozapadna i Yuzhna tsentralna Bulgaria,Югозападна и Южна централна България,27,3,16,6,19,10,10,19,10,9,21,9,25,7,16,9,9,6,8,10,20,11,14,14,15,11,4,4,7,17,7,19,8,11,7,9,10,7,3,0,8
BE2,Vlaams Gewest,Vlaams Gewest,13,7,8,0,33,21,20,5,0,0,12,11,24,3,11,22,15,14,3,0,7,4,8,3,4,0,0,11,6,16,3,16,12,0,5,6,7,4,3,0,7
AT3,Westösterreich,Westösterreich,14,11,14,4,28,15,17,4,6,7,14,4,12,11,10,15,6,11,10,7,7,9,21,3,9,12,10,3,16,19,6,27,8,3,0,11,8,8,0,4,6
EL3,Attiki,Αττική,13,5,9,3,12,4,11,11,16,7,25,15,10,9,12,10,4,0,0,3,11,7,13,7,9,14,0,3,3,4,13,11,5,2,8,6,6,0,4,0,4
UKH,East of England,East of England,21,8,0,5,24,21,18,3,0,0,13,14,11,6,5,12,6,4,3,6,7,0,5,3,0,0,0,6,4,28,0,13,12,0,3,7,0,4,0,0,8
DEA,Nordrhein-Westfalen,Nordrhein-Westfalen,21,7,8,0,38,21,23,5,0,0,10,7,19,11,12,35,19,12,0,0,6,7,12,3,6,0,3,3,10,37,3,22,13,0,7,11,8,4,5,0,8
UKD,North West (England),North West (England),22,9,6,11,27,18,17,6,0,0,13,13,10,3,5,6,3,6,3,7,7,6,3,3,3,3,0,7,5,39,3,14,10,0,7,7,3,7,9,0,5
